id,adult,overview,popularity,poster_path,name,vote_average,genre_ids,vote_count
46825,False,The animated shenanigans of the Rooster Teeth staff. Audio taken from the Rooster Teeth Podcast.,402.2667,/xrcOsjmuBcmf1YhqyQ6qrGCcsvE.jpg,Rooster Teeth Animated Adventures,8.6,"[16, 35, 10767]",5
17610,False,"The exploits of the Los Angeles–based Office of Special Projects (OSP), an elite division of the Naval Criminal Investigative Service that specializes in undercover assignments.",351.3997,/TIIgcznwNfNr3KOZvxn26eKV99.jpg,NCIS: Los Angeles,7.5,"[10759, 18, 80, 9648]",1189
65763,False,"Wabbit is an animated series starring Bugs Bunny. The series features many other Looney Tunes characters including Wile E. Coyote, Yosemite Sam, and the Tasmanian Devil.",213.5407,/AdROLFTm3nSnqcmkhPabqdRuETZ.jpg,New Looney Tunes,7.0,"[16, 35, 10751]",145
236443,False,"Getroud met Rugby: Die Sepie is a South African soap opera based on the feature film and later drama series Getroud met Rugby by Deon Opperman, which is set amongst a rugby-playing community.",263.0459,/sBp8JBN38AanXyuX4yT3SDuoieY.jpg,Getroud met Rugby: Die Sepie,3.0,[10766],1
32798,False,"Steve McGarrett returns home to Oahu, in order to find his father's killer. The governor offers him the chance to run his own task force (Five-0). Steve's team is joined by Chin Ho Kelly, Danny ""Danno"" Williams, and Kono Kalakaua.",277.6039,/sIdCKlmM2nU4akIvFQaAIiU8YES.jpg,Hawaii Five-0,7.754,"[80, 18, 10759]",1775
14658,False,"A reality show contest where sixteen or more castaways split between two or more “Tribes” are taken to a remote isolated location and are forced to live off the land with meager supplies for roughly 39 days. Frequent physical challenges are used to pit the tribes against each other for rewards, such as food or luxuries, or for “Immunity”, forcing the other tribe to attend “Tribal Council”, where they must vote off one of their players.",274.8983,/1usR1nanbDvnc0LJlWd5TOylT9M.jpg,Survivor,7.354,[10764],400
37678,False,"The strongest vocalists from across the United states compete in a blockbusters vocal competition, the winner becomes “The Voice.” The show's innovative format features four stages of competition: the blind auditions, the battle rounds, the knockouts and, finally, the live performance shows.",412.9994,/8jgjykcCuQ5rYreyqba4mazNKYd.jpg,The Voice,5.9,[10764],207
20598,False,"Vita lögner is a Swedish soap opera that aired on TV3,. The plot focused on the social life of the hospital staff and families in the fictional town of Strömsvik.

Vita lögner was TV3's first big soap opera hit after Kanal5 bought Vänner och fiender from them in 1997. Many big stars in Sweden have done roles in the show, among them Alexander Skarsgård, Petra Hultgren, Anna Järphammar and Maud Adams. Charlotte Perrelli had a bigger role as Milla Svensson during 1997-1998.

It was after Kanal5 bought the rights to Vänner och fiender and TV3 saw what a huge success the show was for the channel that they decided to produce Vita lögner to compete over the same time slot.",403.3834,,White Lies,6.0,[10766],3
331,False,Aspiring models compete for a chance to break into the business with a panel of judges critiquing their progress throughout the competition.,317.2858,/47EIfjYrT80AOfpAIkvSxdpwGOv.jpg,America's Next Top Model,5.3,[10764],133
70558,False,"Intimate musical performances, recorded live at the desk of All Songs Considered host Bob Boilen.",290.6582,/sJ6HdzajIVkC5G2kRROhNu8at43.jpg,NPR Tiny Desk Concerts,7.8,[],8
60572,False,"Join Ash accompanied by his partner Pikachu, as he travels through many regions, meets new friends and faces new challenges on his quest to become a Pokémon Master.",435.3518,/rOuGm07PxBhEsK9TaGPRQVJQm1X.jpg,Pokémon,7.9,"[16, 10759, 10765]",1970
1400,False,A stand-up comedian and his three offbeat friends weather the pitfalls and payoffs of life in New York City in the '90s. It's a show about nothing.,228.8812,/aCw8ONfyz3AhngVQa1E2Ss4KSUQ.jpg,Seinfeld,8.26,[35],2124
82873,False,"Kelly Clarkson presents the biggest newsmakers and names in film, television and music; as well as emerging new talent and everyday people who are beacons of hope in their communities.",458.494,/sBix25bie9UQFzbarN51DpFO5ky.jpg,The Kelly Clarkson Show,6.477,[10767],65
32726,False,"Bob's Burgers follows a third-generation restaurateur, Bob, as he runs Bob's Burgers with the help of his wife and their three kids. Bob and his quirky family have big ideas about burgers, but fall short on service and sophistication. Despite the greasy counters, lousy location and a dearth of customers, Bob and his family are determined to make Bob's Burgers ""grand re-re-re-opening"" a success.",271.6524,/yVz5foNr6nCfathj0igg8RLVGfn.jpg,Bob's Burgers,7.823,"[16, 35]",993
4384,False,"Since it began in 1983, Frontline has been airing public-affairs documentaries that explore a wide scope of the complex human experience. Frontline's goal is to extend the impact of the documentary beyond its initial broadcast by serving as a catalyst for change.",229.0163,/5Va5SzbaJe5Wd64caWfzspSA92L.jpg,Frontline,7.3,"[99, 10763]",45
1966,False,"Horizon tells amazing science stories, unravels mysteries and reveals worlds you've never seen before.",320.4367,/uX8pic7asQBdnwMB9QjPvTsn1Dw.jpg,Horizon,7.516,[99],32
79744,False,"Starting over isn't easy, especially for small-town guy John Nolan who, after a life-altering incident, is pursuing his dream of being an LAPD officer. As the force's oldest rookie, he’s met with skepticism from some higher-ups who see him as just a walking midlife crisis.",312.9868,/bL1mwXDnH5fCxqc4S2n40hoVyoe.jpg,The Rookie,8.523,"[80, 18, 35]",2503
62223,False,"Once Craig Ferguson retires, James Corden will be taking over The Late Late Show. The show is a late night talk show that interviews celebrities and has its own bits. And of course, it's all hosted by James Corden.",265.7671,/qPmVoG8G9tc1nN8ZwGV2zYcknit.jpg,The Late Late Show with James Corden,5.312,[10767],138
153485,False,The adventures of Sazae Fuguta and her family and friends in their Tokyo suburb.,312.9093,/sR3tqK13hhpohIfnpd2z3HkpnUb.jpg,Sazae-san,6.5,"[16, 35, 10751]",6
897,False,"The exploits of the Grim Reaper, who has been forced into being the best friend of two children. A spin-off of the show Grim & Evil.",293.893,/gxdTn5UwvriN1EzDSNnWr5AAQN7.jpg,The Grim Adventures of Billy and Mandy,8.047,"[16, 35, 10762]",978
1399,False,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.",278.0292,/1XS1oqL89opfnbLl8WnZY1O1uJx.jpg,Game of Thrones,8.457,"[10765, 18, 10759]",25156
2394,False,"TV's original home-improvement show, following one whole-house renovation over several episodes.",299.8596,/ecAOX4esywAXLF5I4X2gaTmhmAG.jpg,This Old House,5.4,"[99, 10764]",34
279060,False,"Miniseries that follow the life and career of Mexican actor, comedian and producer Roberto Gómez Bolaños, known for being the creator of El Chavo del 8, El Chapulín Colorado and Chespirito.",316.3455,/gNc8wna9IjIDUxtSeqLrjOjCpRe.jpg,Chespirito: Not Really on Purpose,8.121,"[18, 35]",103
18165,False,"The story of two vampire brothers obsessed with the same girl, who bears a striking resemblance to the beautiful but ruthless vampire they knew and loved in 1864.",282.841,/b3vl6wV1W8PBezFfntKTrhrehCY.jpg,The Vampire Diaries,8.313,"[18, 10765]",9221
14750,False,"Na Wspólnej is a Polish soap opera. It has been running since 2003 on the TVN channel as its flagship primetime weekday soap opera. It is loosely based on the German production Unter Uns and it follows the lives of the inhabitants of an apartment block in Wspólna Street, Warsaw. Episodes tend to last around 20 minutes. It is a Polish version of the Hungarian ""Barátok közt"".

The series is shot almost entirely in Warsaw and produced by the Polish branch of Freemantle Media. On 9 September 2008 it celebrated its 1000th episode; ""Na Wspólnej"" was the fourth Polish television series ever to achieve such status. A special episode was broadcast in which characters from some other of TVN's most popular shows visited Wspólna Street.",234.0151,/uksRhdaOn64bO5d33d7rcTbrhJI.jpg,Na Wspólnej,4.4,[10766],9
10938,False,"Bob the Builder and his machine team are ready to tackle any project. Bob and the Can-Do Crew demonstrate the power of positive thinking, problem-solving, teamwork, and follow-through. The team always shows that “The Fun Is In Getting It Done!”",281.6622,/jfIAxRMSLuMjczB0ezl8L9Ukzfi.jpg,Bob the Builder,5.944,"[10762, 16, 10751]",116
59186,False,"This hidden-camera series follows four lifelong friends -- Brian ""Q""' Quinn, James ""Murr""' Murray, Joe Gatto and Sal Vulcano -- who take dares to an outrageous level. To find out who is best under pressure, the guys compete in awkward and outrageous hidden-camera hijinks with the loser performing what is deemed to be the most-mortifying challenge yet.",325.8985,/tgwncYaLPoqdxzhHrlDuQdHqkS4.jpg,Impractical Jokers,7.9,[35],375
1402,False,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,216.886,/ng3cMtxYKt1OSQYqFlnKWnVsqNO.jpg,The Walking Dead,8.096,"[10759, 18, 10765]",17028
46260,False,"Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja.",280.4958,/xppeysfvDKVx775MFuH8Z9BlpMk.jpg,Naruto,8.4,"[16, 10759, 10765]",5709
4057,False,"An elite team of FBI profilers analyze the country's most twisted criminal minds, anticipating their next moves before they strike again. The Behavioral Analysis Unit's most experienced agent is David Rossi, a founding member of the BAU who returns to help the team solve new cases.",263.3089,/wLMQebhTApmn4F6Fzg6FovdwVvL.jpg,Criminal Minds,8.3,"[80, 18, 9648]",3854
112470,False,"This television drama series is centered around the prestigious culinary school of renowned chef Auguste Armand. The show follows the lives of students and staff as they navigate the challenges and pressures of the culinary world—delving into their personal and professional lives, revealing secrets, rivalries, and complex relationships.",308.7728,/x9HeaagUAyyGl1fQ6exQcpELBxP.jpg,Ici tout commence,6.9,"[10766, 18]",89
132791,False,"Mitsuo encountered Superman, an alien who is a part of a federation that tries to maintain peace in the galaxy. He then received a helmet (that also serves as a mask) that gives superhuman strength, a cape that enables the wearer to fly, and a badge that allows him to breathe underwater and communicate with his fellow comrades whom he met soon after he utilized these gifts. Superman made it clear to all Permans that their identity must be kept a secret or their brain will be destroyed should it ever be revealed and they are given a special doppelganger robot that can replace them while they are away to achieve this feat, although it is not entirely foolproof nor is it free from potential problems. These equipments then allowed them to be young Permans who try to maintain peace and help the people who are in need.",260.2551,/lCGbsqKiOvRICllC4AgZ67zjrSL.jpg,SUPERKID,8.75,"[16, 10759, 10765, 35, 10751, 10762]",4
66465,False,,445.7152,/fBPNBNFmcwhYXUpkW2Kb6jbeJOR.jpg,The Kapil Sharma Show,7.1,"[35, 10767]",35
14447,False,"M jak miłość is a Polish soap opera, revolving around the multiple generations of the Mostowiak family. The series premiered on November 4, 2000 on TVP2, primarily as a weekly drama, and after one season shifting into a new timeslot and extending to two episodes per week. For the last few years the show has been the most watched drama on Polish television. Its popularity led to a Russian adaptation, entitled Lyubov kak Lyubov.

The series is also broadcast on the international channel TVP Polonia with English subtitles.",308.8836,,L for Love,3.2,[10766],10
68921,False,WWE's division of Cruiserweight's battle it out to decide who is the greatest wrestler under 205lbs.,260.5878,/f6NlvoEJH8KxQI58ecTBkcsbQVF.jpg,WWE 205 Live,5.838,"[10759, 18]",34
4238,False,"Life’s good for deliveryman Doug Heffernan, until his newly widowed father-in-law, Arthur, moves in with him and his wife Carrie. Doug is no longer the king of his domain, and instead of having a big screen television in his recently renovated basement, he now has a crazy old man.",194.2348,/vXs300Yvjy4Kr0iHgBtajHkYbAt.jpg,The King of Queens,7.094,[35],649
4087,False,"The exploits of FBI Special Agents Fox Mulder and Dana Scully who investigate X-Files: marginalized, unsolved cases involving paranormal phenomena. Mulder believes in the existence of aliens and the paranormal while Scully, a skeptic, is assigned to make scientific analyses of Mulder's discoveries that debunk Mulder's work and thus return him to mainstream cases.",177.0043,/rcBx0p8h51LHceyhquYMxbspJQu.jpg,The X-Files,8.377,"[9648, 10765, 80]",3256
4496,False,"Meet the Press is a weekly American television news/interview program airing on NBC. It is the longest-running television series in American broadcasting history, despite bearing little resemblance to the original format of the program seen in its television debut on November 6, 1947. Meet the Press is the highest-rated of the American television Sunday morning talk shows.

It has been hosted by 11 moderators, beginning with Martha Rountree.  Meet the Press and similar shows specialize in interviewing national leaders on issues of politics, economics, foreign policy and other public affairs.",287.7891,/lisjDmT2xTykSZxCNvd7E3gQ9AI.jpg,Meet the Press,4.0,"[10763, 10767]",18
